Data,Tipus,Nom,Simbol,Preu (Euros),Tipus_cotitzacio
2017-11-19,crypto_moneda,CFDConfido,CFD,0.378078211,baixa
2017-11-19,crypto_moneda,DOVUDovu,DOVU,0.101379140,baixa
2017-11-19,crypto_moneda,SXCSexcoin,SXC,0.026675277,baixa
2017-11-19,crypto_moneda,EQTEquiTrader,EQT,0.342852773,baixa
2017-11-19,crypto_moneda,HBTHubii Network,HBT,0.149526691,baixa
2017-11-19,crypto_moneda,NIOAutonio,NIO,0.050475859,baixa
2017-11-19,crypto_moneda,BELABela,BELA,0.085708944,baixa
2017-11-19,crypto_moneda,SYNXSyndicate,SYNX,0.202086980,baixa
2017-11-19,crypto_moneda,BCOBridgeCoin,BCO,0.121563196,baixa
2017-11-19,crypto_moneda,TFLTrueFlip,TFL,0.502410734,baixa
2017-11-19,crypto_moneda,BLITZBlitzcash,BLITZ,0.764388777,baixa
2017-11-19,crypto_moneda,ARCArcade Token,ARC,1.733485155,normal
2017-11-19,crypto_moneda,MEMEMemetic,MEME,0.189901599,baixa
2017-11-19,crypto_moneda,BRXBreakout Stake,BRX,0.489684064,baixa
2017-11-19,crypto_moneda,HUSHHush,HUSH,1.368093676,normal
2017-11-19,crypto_moneda,TRCTerracoin,TRC,0.142004725,baixa
2017-11-19,crypto_moneda,ONIONDeepOnion,ONION,0.772595639,baixa
2017-11-19,crypto_moneda,GEOGeoCoin,GEO,0.875240054,baixa
2017-11-19,crypto_moneda,BTMBitmark,BTM,0.401261875,baixa
2017-11-19,crypto_moneda,XPMPrimecoin,XPM,0.134768274,baixa
2017-11-19,crypto_moneda,VRMVeriumReserve,VRM,2.056389252,normal
