Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
BME,"28,830",baixada,"-0,59%","-0,170","4.397.278,61","2.411,89","15,15","6,32%",3/11
CAIXABANK,"3,97",baixada,"-1,66%","-0,07","74.455.366,63","23.722,38","13,23","3,68%",3/11
CELLNEX TELECOM,"21,19",baixada,"-0,49%","-0,11","14.556.541,39","4.916,32","70,63","0,48%",3/11
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"25,52",baixada,"-0,12%","-0,03","2.904.537,66","3.290,79","14,64","2,10%",3/11
CLEOP,"1,15",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",3/11
CLINICA BAVIERA,"8,33",pujada,"+0,24%","0,02","743,15","136,17","23,00","2,38%",3/11
CODERE,"0,36",pujada,"+0,00%","0,00","122.255,36","942,97","0,00","0,00%",3/11
COEMAC,"0,44",pujada,"+1,16%","0,01","74.605,80","85,91","59,43","0,00%",3/11
DEOLEO SA,"0,18",pujada,"+2,86%","0,01","509.656,15","213,62","16,09","0,00%",3/11
DIA,"4,08",baixada,"-2,37%","-0,10","28.856.073,52","2.537,76","10,60","5,05%",3/11
DOGI INTL FABRICS,"3,57",baixada,"-1,87%","-0,07","148.948,15","264,98","0,00","0,00%",3/11
DURO FELGUERA,"0,55",pujada,"+1,85%","0,01","393.292,90","88,00","0,00","0,00%",3/11
EBRO FOODS,"20,40",baixada,"-0,49%","-0,10","1.900.054,95","3.146,55","17,73","3,15%",3/11
EDREAMS ODIGEO REG,"3,42",pujada,"+3,61%","0,12","3.561.671,14","371,40","8,73","0,00%",3/11
ELECNOR,"12,01",pujada,"+0,17%","0,02","139.456,31","1.048,35","11,27","2,33%",3/11
ENAGAS,"24,24",baixada,"-0,84%","-0,21","15.142.131,98","5.778,56","12,22","6,04%",3/11
ENCE,"5,250",pujada,"+0,00%","0,000","4.124.602,72","1.292,93","14,08","3,28%",3/11
ENDESA,"19,46",pujada,"+0,39%","0,08","39.097.018,11","20.603,32","15,02","6,96%",3/11
ENEL GREEN POWER,"1,93",pujada,"+0,00%","0,00","86.618,27","9.655,00","23,54","1,59%",1/04
ERCROS,"2,74",baixada,"-1,72%","-0,05","1.138.496,45","306,64","7,02","0,00%",3/11
EUROPAC,"8,90",baixada,"-1,28%","-0,12","1.227.626,78","850,20","11,62","3,48%",3/11
EUSKALTEL,"6,75",baixada,"-1,47%","-0,10","2.802.279,92","1.197,82","17,00","5,29%",3/11
FAES FARMA,"2,855",baixada,"-1,38%","-0,040","1.316.163,46","729,20","18,00","1,50%",3/11
FCC,"8,92",baixada,"-2,45%","-0,22","361.784,05","3.391,25","18,40","0,00%",3/11
FERGO AISA,"0,017",pujada,"+0,00%","0,000","0,00","13,16","0,00","0,00%",28/01
FERROCARRILES,"34,74",baixada,"-0,46%","-0,16","705.454,90","1.191,94","25,60","1,72%",3/11
FERROVIAL,"18,50",baixada,"-0,67%","-0,13","17.503.676,46","13.681,11","33,90","3,17%",3/11
FERSA ENERGIAS,"0,51",pujada,"+1,00%","0,01","23.070,48","69,30","91,57","0,00%",3/11
FLUIDRA,"8,87",pujada,"+1,95%","0,17","2.021.941,39","996,77","23,54","1,92%",3/11
FUNESPANA,"7,42",baixada,"-0,67%","-0,05","737,00","134,85","0,00","0,00%",3/11
GAM,"1,56",pujada,"+5,41%","0,08","318.230,27","53,27","0,00","0,00%",3/11
GAMESA,"11,94",baixada,"-3,55%","-0,44","51.708.350,81","8.126,04","13,54","1,42%",3/11
